variant	test	reason
btc	tests.test_msg_ethereum_clear_signing.TestEthereumClearSigning::test_clearsign_spark_protocol_supply	EthereumTxMetadata not supported by this firmware build
btc	tests.test_msg_ethereum_clear_signing.TestEthereumClearSigning::test_clearsign_uniswap_v2_eth_to_token	EthereumTxMetadata not supported by this firmware build
btc	tests.test_msg_ethereum_clear_signing.TestEthereumClearSigning::test_clearsign_uniswap_v2_token_to_eth	EthereumTxMetadata not supported by this firmware build
btc	tests.test_msg_ethereum_clear_signing.TestEthereumClearSigning::test_clearsign_uniswap_v3_exact_input	EthereumTxMetadata not supported by this firmware build
btc	tests.test_msg_ethereum_clear_signing.TestEthereumClearSigning::test_clearsign_uniswap_v3_exact_output_single	EthereumTxMetadata not supported by this firmware build
btc	tests.test_msg_ethereum_clear_signing.TestEthereumClearSigning::test_clearsign_uniswap_v3_multicall	EthereumTxMetadata not supported by this firmware build
btc	tests.test_msg_ethereum_clear_signing.TestEthereumClearSigning::test_clearsign_uniswap_v4_universal_router_swap	EthereumTxMetadata not supported by this firmware build
btc	tests.test_msg_ethereum_clear_signing.TestEthereumClearSigning::test_clearsign_usdt_approve	EthereumTxMetadata not supported by this firmware build
btc	tests.test_msg_ethereum_clear_signing.TestEthereumClearSigning::test_clearsign_weth_deposit	EthereumTxMetadata not supported by this firmware build
btc	tests.test_msg_ethereum_clear_signing.TestEthereumClearSigning::test_clearsign_weth_withdraw	EthereumTxMetadata not supported by this firmware build
btc	tests.test_msg_ethereum_clear_signing.TestEthereumClearSigning::test_clearsign_wormhole_token_bridge_transfertokens	EthereumTxMetadata not supported by this firmware build
btc	tests.test_msg_ethereum_clear_signing.TestEthereumClearSigning::test_clearsign_yearn_v2_yusdc_deposit	EthereumTxMetadata not supported by this firmware build
btc	tests.test_msg_ethereum_clear_signing.TestEthereumClearSigning::test_clearsign_yearn_v3_aave_usdc_lender_deposit	EthereumTxMetadata not supported by this firmware build
btc	tests.test_msg_ethereum_clear_signing.TestEthereumClearSigning::test_empty_key_slot_returns_malformed	EthereumTxMetadata not supported by this firmware build
btc	tests.test_msg_ethereum_clear_signing.TestEthereumClearSigning::test_empty_payload_returns_malformed	EthereumTxMetadata not supported by this firmware build
btc	tests.test_msg_ethereum_clear_signing.TestEthereumClearSigning::test_extra_trailing_bytes_returns_malformed	EthereumTxMetadata not supported by this firmware build
btc	tests.test_msg_ethereum_clear_signing.TestEthereumClearSigning::test_load_required_before_verify	EthereumTxMetadata not supported by this firmware build
btc	tests.test_msg_ethereum_clear_signing.TestEthereumClearSigning::test_load_signer_bad_alias_rejected	EthereumTxMetadata not supported by this firmware build
btc	tests.test_msg_ethereum_clear_signing.TestEthereumClearSigning::test_load_signer_cancel_refuses	EthereumTxMetadata not supported by this firmware build
btc	tests.test_msg_ethereum_clear_signing.TestEthereumClearSigning::test_load_signer_invalid_pubkey_rejected	EthereumTxMetadata not supported by this firmware build
btc	tests.test_msg_ethereum_clear_signing.TestEthereumClearSigning::test_load_signer_key_id_out_of_range_rejected	EthereumTxMetadata not supported by this firmware build
btc	tests.test_msg_ethereum_clear_signing.TestEthereumClearSigning::test_no_metadata_then_sign_unchanged	EthereumTxMetadata not supported by this firmware build
btc	tests.test_msg_ethereum_clear_signing.TestEthereumClearSigning::test_persistent_signer_rejected_without_session_mutation	EthereumTxMetadata not supported by this firmware build
btc	tests.test_msg_ethereum_clear_signing.TestEthereumClearSigning::test_replay_rejected_when_digest_differs	EthereumTxMetadata not supported by this firmware build
btc	tests.test_msg_ethereum_clear_signing.TestEthereumClearSigning::test_tampered_contract_returns_malformed	EthereumTxMetadata not supported by this firmware build
btc	tests.test_msg_ethereum_clear_signing.TestEthereumClearSigning::test_tampered_method_returns_malformed	EthereumTxMetadata not supported by this firmware build
btc	tests.test_msg_ethereum_clear_signing.TestEthereumClearSigning::test_truncated_payload_returns_malformed	EthereumTxMetadata not supported by this firmware build
btc	tests.test_msg_ethereum_clear_signing.TestEthereumClearSigning::test_valid_metadata_returns_verified	EthereumTxMetadata not supported by this firmware build
btc	tests.test_msg_ethereum_clear_signing.TestEthereumClearSigning::test_wrong_key_returns_malformed	EthereumTxMetadata not supported by this firmware build
btc	tests.test_msg_ethereum_clear_signing.TestEthereumClearSigning::test_wrong_version_returns_malformed	EthereumTxMetadata not supported by this firmware build
btc	tests.test_msg_ethereum_clear_signing.TestEthereumClearSigning::test_zero_signature_returns_malformed	EthereumTxMetadata not supported by this firmware build
btc	tests.test_msg_ethereum_clear_signing.TestClearSignV2Device::test_v2_calldata_length_mismatch_falls_back_to_raw_review	EthereumTxMetadata not supported by this firmware build
btc	tests.test_msg_ethereum_clear_signing.TestClearSignV2Device::test_v2_transfer_decodes_signs_and_recovers	EthereumTxMetadata not supported by this firmware build
btc	tests.test_msg_ethereum_clear_signing.TestClearSignV2Device::test_v2_unsupported_arg_format_returns_malformed	EthereumTxMetadata not supported by this firmware build
btc	tests.test_msg_ethereum_clearsign_additive.TestClearSignAdditiveInvariant::test_failed_signature_falls_back_to_the_unverified_review	EthereumTxMetadata not supported by this firmware build
btc	tests.test_msg_ethereum_clearsign_additive.TestClearSignAdditiveInvariant::test_no_runtime_slot_can_reach_the_suppression_branch	EthereumTxMetadata not supported by this firmware build
btc	tests.test_msg_ethereum_clearsign_additive.TestClearSignAdditiveInvariant::test_no_slot_verifies_without_a_runtime_load	EthereumTxMetadata not supported by this firmware build
btc	tests.test_msg_ethereum_clearsign_additive.TestClearSignAdditiveInvariant::test_successful_decode_still_runs_the_raw_review	EthereumTxMetadata not supported by this firmware build
btc	tests.test_msg_ethereum_clearsign_additive.TestClearSignAdditiveInvariant::test_v2_schema_decode_still_runs_the_raw_review	EthereumTxMetadata not supported by this firmware build
btc	tests.test_msg_ethereum_data_disclosure.TestEthereumDataDisclosure::test_initial_chunk_tail_changes_data_hash_screen	Full feature firmware required to run this test
btc	tests.test_msg_ethereum_data_disclosure.TestEthereumDataDisclosure::test_streamed_tail_changes_data_hash_screen	Full feature firmware required to run this test
btc	tests.test_msg_ethereum_erc20_0x_signtx.TestMsgEthereum0xtxERC20::test__sign_transformERC20	Full feature firmware required to run this test
btc	tests.test_msg_ethereum_erc20_0x_signtx.TestMsgEthereum0xtxERC20::test_sign_0x_swap_ERC20_to_ETH	Full feature firmware required to run this test
btc	tests.test_msg_ethereum_erc20_0x_signtx.TestMsgEthereum0xtxERC20::test_sign_0x_swap_ETH_to_ERC20	Full feature firmware required to run this test
btc	tests.test_msg_ethereum_erc20_0x_signtx.TestMsgEthereum0xtxERC20::test_sign_longdata_swap	Full feature firmware required to run this test
btc	tests.test_msg_ethereum_erc20_approve.TestMsgEthereumtxERC20_approve::test_approve_cvc_0	Full feature firmware required to run this test
btc	tests.test_msg_ethereum_erc20_approve.TestMsgEthereumtxERC20_approve::test_approve_cvc_100	Full feature firmware required to run this test
btc	tests.test_msg_ethereum_erc20_approve.TestMsgEthereumtxERC20_approve::test_approve_cvc_all	Full feature firmware required to run this test
btc	tests.test_msg_ethereum_erc20_uniswap_liquidity.TestMsgEthereumUniswaptxERC20::test_sign_uni_add_liquidity_ETH	Staged release tree does not yet provide capability: evm-unknown-token-review
btc	tests.test_msg_ethereum_erc20_uniswap_liquidity.TestMsgEthereumUniswaptxERC20::test_sign_uni_approve_liquidity_ETH	Full feature firmware required to run this test
btc	tests.test_msg_ethereum_erc20_uniswap_liquidity.TestMsgEthereumUniswaptxERC20::test_sign_uni_remove_liquidity_ETH	Staged release tree does not yet provide capability: evm-unknown-token-review
btc	tests.test_msg_ethereum_getaddress.TestMsgEthereumGetaddress::test_ethereum_getaddress	Full feature firmware required to run this test
btc	tests.test_msg_ethereum_getaddress.TestMsgEthereumGetaddress::test_ethereum_show_address	Full feature firmware required to run this test
btc	tests.test_msg_ethereum_makerdao.TestMsgEthereumtxMakerDAO::test_close	Full feature firmware required to run this test
btc	tests.test_msg_ethereum_makerdao.TestMsgEthereumtxMakerDAO::test_deposit	Full feature firmware required to run this test
btc	tests.test_msg_ethereum_makerdao.TestMsgEthereumtxMakerDAO::test_free	Full feature firmware required to run this test
btc	tests.test_msg_ethereum_makerdao.TestMsgEthereumtxMakerDAO::test_generate	Full feature firmware required to run this test
btc	tests.test_msg_ethereum_message.TestMsgEthereumMessage::test_ethereum_sign_bytes	Full feature firmware required to run this test
btc	tests.test_msg_ethereum_message.TestMsgEthereumMessage::test_ethereum_sign_message	Full feature firmware required to run this test
btc	tests.test_msg_ethereum_message.TestMsgEthereumMessage::test_ethereum_sign_message_from_metamask	Full feature firmware required to run this test
btc	tests.test_msg_ethereum_message.TestMsgEthereumMessage::test_ethereum_sign_message_from_nativedata	Full feature firmware required to run this test
btc	tests.test_msg_ethereum_message.TestMsgEthereumMessage::test_ethereum_verify_bytes	Full feature firmware required to run this test
btc	tests.test_msg_ethereum_message.TestMsgEthereumMessage::test_ethereum_verify_message	Full feature firmware required to run this test
btc	tests.test_msg_ethereum_sablier.TestMsgEthereumSablier::test_sign_salarywithdrawal	Full feature firmware required to run this test
btc	tests.test_msg_ethereum_signing_guards.TestMsgEthereumSigningGuards::test_contract_handler_streamed_calldata_signs_full_data	Full feature firmware required to run this test
btc	tests.test_msg_ethereum_signing_guards.TestMsgEthereumSigningGuards::test_eip1559_no_priority_fee_signs	Full feature firmware required to run this test
btc	tests.test_msg_ethereum_signing_guards.TestMsgEthereumSigningGuards::test_eip1559_requires_chain_id	Full feature firmware required to run this test
btc	tests.test_msg_ethereum_signing_guards.TestMsgEthereumSigningGuards::test_legacy_with_max_fee_rejected	Full feature firmware required to run this test
btc	tests.test_msg_ethereum_signing_guards.TestMsgEthereumSigningGuards::test_streamed_calldata_tail_changes_user_commitment	Full feature firmware required to run this test
btc	tests.test_msg_ethereum_signing_guards.TestMsgEthereumSigningGuards::test_streamed_handler_calldata_is_not_clear_signed	Full feature firmware required to run this test
btc	tests.test_msg_ethereum_signing_guards.TestMsgEthereumSigningGuards::test_type2_without_max_fee_rejected	Full feature firmware required to run this test
btc	tests.test_msg_ethereum_signtx.TestMsgEthereumSigntx::test_ethereum_blind_sign_allowed	Full feature firmware required to run this test
btc	tests.test_msg_ethereum_signtx.TestMsgEthereumSigntx::test_ethereum_blind_sign_blocked	Full feature firmware required to run this test
btc	tests.test_msg_ethereum_signtx.TestMsgEthereumSigntx::test_ethereum_eip_1559	Full feature firmware required to run this test
btc	tests.test_msg_ethereum_signtx.TestMsgEthereumSigntx::test_ethereum_eip_1559_multibyte_chain_id	Full feature firmware required to run this test
btc	tests.test_msg_ethereum_signtx.TestMsgEthereumSigntx::test_ethereum_erc20_high_chain_id_does_not_alias_mainnet	Full feature firmware required to run this test
btc	tests.test_msg_ethereum_signtx.TestMsgEthereumSigntx::test_ethereum_native_pseudo_address_is_unknown_off_mainnet	Staged release tree does not yet provide capability: evm-unknown-token-review
btc	tests.test_msg_ethereum_signtx.TestMsgEthereumSigntx::test_ethereum_sanity_checks	Full feature firmware required to run this test
btc	tests.test_msg_ethereum_signtx.TestMsgEthereumSigntx::test_ethereum_signtx_data	Full feature firmware required to run this test
btc	tests.test_msg_ethereum_signtx.TestMsgEthereumSigntx::test_ethereum_signtx_data1_eip_1559	Full feature firmware required to run this test
btc	tests.test_msg_ethereum_signtx.TestMsgEthereumSigntx::test_ethereum_signtx_data_eip155	Full feature firmware required to run this test
btc	tests.test_msg_ethereum_signtx.TestMsgEthereumSigntx::test_ethereum_signtx_explicit_zero_chain_id_rejected	Full feature firmware required to run this test
btc	tests.test_msg_ethereum_signtx.TestMsgEthereumSigntx::test_ethereum_signtx_knownerc20_eip_1559	Full feature firmware required to run this test
btc	tests.test_msg_ethereum_signtx.TestMsgEthereumSigntx::test_ethereum_signtx_message	Full feature firmware required to run this test
btc	tests.test_msg_ethereum_signtx.TestMsgEthereumSigntx::test_ethereum_signtx_newcontract	Full feature firmware required to run this test
btc	tests.test_msg_ethereum_signtx.TestMsgEthereumSigntx::test_ethereum_signtx_nodata	Full feature firmware required to run this test
btc	tests.test_msg_ethereum_signtx.TestMsgEthereumSigntx::test_ethereum_signtx_nodata_eip155	Full feature firmware required to run this test
btc	tests.test_msg_ethereum_signtx.TestMsgEthereumSigntx::test_ethereum_signtx_nodata_eip_1559	Full feature firmware required to run this test
btc	tests.test_msg_ethereum_signtx.TestMsgEthereumSigntx::test_ethereum_signtx_omitted_chain_id_rejected	Full feature firmware required to run this test
btc	tests.test_msg_ethereum_signtx.TestMsgEthereumSigntx::test_ethereum_unrenderable_amounts_are_rejected	Staged release tree does not yet provide capability: evm-max-amount-review
btc	tests.test_msg_ethereum_signtx_chunked_data_eip1559.TestMsgEthereumSigntxChunkedDataEip1559::test_eip1559_chunked_data_signature_recovers_to_device_address	Full feature firmware required to run this test
btc	tests.test_msg_ethereum_signtx_xfer.TestMsgEthereumSigntx::test_erc20_transfer_high_chain_id_does_not_alias_mainnet	Full feature firmware required to run this test
btc	tests.test_msg_ethereum_signtx_xfer.TestMsgEthereumSigntx::test_ethereum_tx_xfer_acc1	Full feature firmware required to run this test
btc	tests.test_msg_ethereum_signtx_xfer.TestMsgEthereumSigntx::test_ethereum_tx_xfer_acc2	Full feature firmware required to run this test
btc	tests.test_msg_ethereum_signtx_xfer.TestMsgEthereumSigntx::test_ethereum_xfer_account_path_error_0	Full feature firmware required to run this test
btc	tests.test_msg_ethereum_signtx_xfer.TestMsgEthereumSigntx::test_ethereum_xfer_account_path_error_1	Full feature firmware required to run this test
btc	tests.test_msg_ethereum_signtx_xfer.TestMsgEthereumSigntx::test_ethereum_xfer_account_path_error_2	Full feature firmware required to run this test
btc	tests.test_msg_ethereum_signtx_xfer.TestMsgEthereumSigntx::test_ethereum_xfer_account_path_error_3	Full feature firmware required to run this test
btc	tests.test_msg_ethereum_signtx_xfer.TestMsgEthereumSigntx::test_native_pseudo_address_transfer_is_unknown_off_mainnet	Staged release tree does not yet provide capability: evm-unknown-token-review
btc	tests.test_msg_ethereum_signtx_xfer.TestMsgEthereumSigntx::test_transfer_review_uses_signing_chain_asset	Full feature firmware required to run this test
btc	tests.test_msg_ethereum_thorchain_deposit.TestMsgEthereumThorchainDeposit::test_deposit_legacy_selector	Full feature firmware required to run this test
btc	tests.test_msg_ethereum_thorchain_deposit.TestMsgEthereumThorchainDeposit::test_deposit_unpinned_chain_blind_sign_blocked	Full feature firmware required to run this test
btc	tests.test_msg_ethereum_thorchain_deposit.TestMsgEthereumThorchainDeposit::test_deposit_with_expiry_avalanche_router	Full feature firmware required to run this test
btc	tests.test_msg_ethereum_thorchain_deposit.TestMsgEthereumThorchainDeposit::test_deposit_with_expiry_non_thor_address_blind_sign_blocked	Full feature firmware required to run this test
btc	tests.test_msg_ethereum_thorchain_deposit.TestMsgEthereumThorchainDeposit::test_deposit_with_expiry_selector	Full feature firmware required to run this test
btc	tests.test_msg_getaddress.TestMsgGetaddress::test_grs	Full feature firmware required to run this test
btc	tests.test_msg_getaddress.TestMsgGetaddress::test_ltc	Full feature firmware required to run this test
btc	tests.test_msg_getaddress.TestMsgGetaddress::test_ltc_m_address	Full feature firmware required to run this test
btc	tests.test_msg_getaddress.TestMsgGetaddress::test_tgrs	Full feature firmware required to run this test
btc	tests.test_msg_getaddress_segwit.TestMsgGetaddressSegwit::test_grs	Full feature firmware required to run this test
btc	tests.test_msg_getaddress_segwit.TestMsgGetaddressSegwit::test_tgrs	Full feature firmware required to run this test
btc	tests.test_msg_getaddress_segwit_native.TestMsgGetaddressSegwitNative::test_show_segwit	Full feature firmware required to run this test
btc	tests.test_msg_getentropy.TestMsgGetentropy::test_entropy	Staged release tree does not yet provide capability: entropy-audit-budget
btc	tests.test_msg_hive.TestMsgHive::test_hive_get_public_key_active	HiveGetPublicKey not supported by this firmware build
btc	tests.test_msg_hive.TestMsgHive::test_hive_get_public_keys_all_roles	HiveGetPublicKeys not supported by this firmware build
btc	tests.test_msg_hive.TestMsgHive::test_hive_sign_account_create	Staged release tree does not yet provide capability: hive-release-review
btc	tests.test_msg_hive.TestMsgHive::test_hive_sign_account_ops_reject_non_owner_roles	Staged release tree does not yet provide capability: hive-release-review
btc	tests.test_msg_hive.TestMsgHive::test_hive_sign_account_update	HiveSignAccountUpdate not supported by this firmware build
btc	tests.test_msg_hive.TestMsgHive::test_hive_sign_message_all_roles	HiveSignMessage not supported by this firmware build
btc	tests.test_msg_hive.TestMsgHive::test_hive_sign_message_long_printable_ok	HiveSignMessage not supported by this firmware build
btc	tests.test_msg_hive.TestMsgHive::test_hive_sign_message_max_length_ok	HiveSignMessage not supported by this firmware build
btc	tests.test_msg_hive.TestMsgHive::test_hive_sign_message_nonprintable_bytes	HiveSignMessage not supported by this firmware build
btc	tests.test_msg_hive.TestMsgHive::test_hive_sign_message_posting	HiveSignMessage not supported by this firmware build
btc	tests.test_msg_hive.TestMsgHive::test_hive_sign_message_rejects_bad_paths	HiveSignMessage not supported by this firmware build
btc	tests.test_msg_hive.TestMsgHive::test_hive_sign_message_rejects_chain_id_prefix	HiveSignMessage not supported by this firmware build
btc	tests.test_msg_hive.TestMsgHive::test_hive_sign_message_rejects_oversize	HiveSignMessage not supported by this firmware build
btc	tests.test_msg_hive.TestMsgHive::test_hive_sign_ops_account_update2_is_rejected	HiveSignOperations not supported by this firmware build
btc	tests.test_msg_hive.TestMsgHive::test_hive_sign_ops_active_tier_value_ops	HiveSignOperations not supported by this firmware build
btc	tests.test_msg_hive.TestMsgHive::test_hive_sign_ops_asset_symbol_and_precision_pinned	HiveSignOperations not supported by this firmware build
btc	tests.test_msg_hive.TestMsgHive::test_hive_sign_ops_comment	HiveSignOperations not supported by this firmware build
btc	tests.test_msg_hive.TestMsgHive::test_hive_sign_ops_comment_options_beneficiary_rules	HiveSignOperations not supported by this firmware build
btc	tests.test_msg_hive.TestMsgHive::test_hive_sign_ops_comment_options_binds_to_its_comment	HiveSignOperations not supported by this firmware build
btc	tests.test_msg_hive.TestMsgHive::test_hive_sign_ops_custom_json_active	HiveSignOperations not supported by this firmware build
btc	tests.test_msg_hive.TestMsgHive::test_hive_sign_ops_custom_json_posting	HiveSignOperations not supported by this firmware build
btc	tests.test_msg_hive.TestMsgHive::test_hive_sign_ops_downvote_and_default_chain_id	HiveSignOperations not supported by this firmware build
btc	tests.test_msg_hive.TestMsgHive::test_hive_sign_ops_limit_order_cancel	HiveSignOperations not supported by this firmware build
btc	tests.test_msg_hive.TestMsgHive::test_hive_sign_ops_limit_order_create	HiveSignOperations not supported by this firmware build
btc	tests.test_msg_hive.TestMsgHive::test_hive_sign_ops_posting_tier_ops	HiveSignOperations not supported by this firmware build
btc	tests.test_msg_hive.TestMsgHive::test_hive_sign_ops_rejects_excluded_and_unknown_ops	HiveSignOperations not supported by this firmware build
btc	tests.test_msg_hive.TestMsgHive::test_hive_sign_ops_rejects_malformed_structure	HiveSignOperations not supported by this firmware build
btc	tests.test_msg_hive.TestMsgHive::test_hive_sign_ops_rejects_oversize	HiveSignOperations not supported by this firmware build
btc	tests.test_msg_hive.TestMsgHive::test_hive_sign_ops_role_fences	HiveSignOperations not supported by this firmware build
btc	tests.test_msg_hive.TestMsgHive::test_hive_sign_ops_truncated_bodies_rejected	HiveSignOperations not supported by this firmware build
btc	tests.test_msg_hive.TestMsgHive::test_hive_sign_ops_vote	HiveSignOperations not supported by this firmware build
btc	tests.test_msg_hive.TestMsgHive::test_hive_sign_ops_zero_amount_semantics	HiveSignOperations not supported by this firmware build
btc	tests.test_msg_hive.TestMsgHive::test_hive_sign_transfer	Staged release tree does not yet provide capability: hive-release-review
btc	tests.test_msg_hive.TestMsgHive::test_hive_sign_transfer_max_memo_ok	Staged release tree does not yet provide capability: hive-release-review
btc	tests.test_msg_hive.TestMsgHive::test_hive_sign_transfer_rejects_foreign_path	Staged release tree does not yet provide capability: hive-release-review
btc	tests.test_msg_hive.TestMsgHive::test_hive_sign_transfer_rejects_long_memo	Staged release tree does not yet provide capability: hive-release-review
btc	tests.test_msg_hive.TestMsgHive::test_hive_sign_transfer_rejects_non_active_roles	Staged release tree does not yet provide capability: hive-release-review
btc	tests.test_msg_hive.TestMsgHive::test_hive_sign_transfer_rejects_wrong_network	Staged release tree does not yet provide capability: hive-release-review
btc	tests.test_msg_mayachain_getaddress.TestMsgMayaChainGetAddress::test_mayachain_get_address	Full feature firmware required to run this test
btc	tests.test_msg_mayachain_signtx.TestMsgMayaChainSignTx::test_ack_rejects_send_and_deposit_together	Full feature firmware required to run this test
btc	tests.test_msg_mayachain_signtx.TestMsgMayaChainSignTx::test_mayachain_remove_liquidity	Full feature firmware required to run this test
btc	tests.test_msg_mayachain_signtx.TestMsgMayaChainSignTx::test_mayachain_sign_tx	Full feature firmware required to run this test
btc	tests.test_msg_mayachain_signtx.TestMsgMayaChainSignTx::test_mayachain_sign_tx_memos	Full feature firmware required to run this test
btc	tests.test_msg_mayachain_signtx.TestMsgMayaChainSignTx::test_sign_eth_add_liquidity	Full feature firmware required to run this test
btc	tests.test_msg_mayachain_signtx.TestMsgMayaChainSignTx::test_sign_eth_btc_swap	Full feature firmware required to run this test
btc	tests.test_msg_nano_getaddress.TestMsgNanoGetAddress::test	Full feature firmware required to run this test
btc	tests.test_msg_nano_signtx.TestMsgNanoSignTx::test_encode_balance	Full feature firmware required to run this test
btc	tests.test_msg_nano_signtx.TestMsgNanoSignTx::test_invalid_block_1	Full feature firmware required to run this test
btc	tests.test_msg_nano_signtx.TestMsgNanoSignTx::test_invalid_block_10	Full feature firmware required to run this test
btc	tests.test_msg_nano_signtx.TestMsgNanoSignTx::test_invalid_block_11	Full feature firmware required to run this test
btc	tests.test_msg_nano_signtx.TestMsgNanoSignTx::test_invalid_block_12	Full feature firmware required to run this test
btc	tests.test_msg_nano_signtx.TestMsgNanoSignTx::test_invalid_block_13	Full feature firmware required to run this test
btc	tests.test_msg_nano_signtx.TestMsgNanoSignTx::test_invalid_block_14	Full feature firmware required to run this test
btc	tests.test_msg_nano_signtx.TestMsgNanoSignTx::test_invalid_block_2	Full feature firmware required to run this test
btc	tests.test_msg_nano_signtx.TestMsgNanoSignTx::test_invalid_block_3	Full feature firmware required to run this test
btc	tests.test_msg_nano_signtx.TestMsgNanoSignTx::test_invalid_block_4	Full feature firmware required to run this test
btc	tests.test_msg_nano_signtx.TestMsgNanoSignTx::test_invalid_block_5	Full feature firmware required to run this test
btc	tests.test_msg_nano_signtx.TestMsgNanoSignTx::test_invalid_block_6	Full feature firmware required to run this test
btc	tests.test_msg_nano_signtx.TestMsgNanoSignTx::test_invalid_block_7	Full feature firmware required to run this test
btc	tests.test_msg_nano_signtx.TestMsgNanoSignTx::test_invalid_block_8	Full feature firmware required to run this test
btc	tests.test_msg_nano_signtx.TestMsgNanoSignTx::test_invalid_block_9	Full feature firmware required to run this test
btc	tests.test_msg_osmosis_signtx.TestMsgOsmosisSignTx::test_osmosis_amount_is_committed_to_the_signature	Full feature firmware required to run this test
btc	tests.test_msg_osmosis_signtx.TestMsgOsmosisSignTx::test_osmosis_send_amount_beyond_float_precision	Full feature firmware required to run this test
btc	tests.test_msg_osmosis_signtx.TestMsgOsmosisSignTx::test_osmosis_send_denom_is_committed_to_the_signature	Full feature firmware required to run this test
btc	tests.test_msg_osmosis_signtx.TestMsgOsmosisSignTx::test_osmosis_send_rejects_noncanonical_wire_amounts	Staged release tree does not yet provide capability: osmosis-wire-guards
btc	tests.test_msg_osmosis_signtx.TestMsgOsmosisSignTx::test_osmosis_send_subunit_amount	Full feature firmware required to run this test
btc	tests.test_msg_osmosis_signtx.TestMsgOsmosisSignTx::test_osmosis_sign_tx	Full feature firmware required to run this test
btc	tests.test_msg_osmosis_signtx.TestMsgOsmosisSignTx::test_osmosis_signing_is_deterministic	Full feature firmware required to run this test
btc	tests.test_msg_osmosis_signtx.TestMsgOsmosisSignTx::test_osmosis_swap_max_fields_are_fully_paged	Full feature firmware required to run this test
btc	tests.test_msg_osmosis_validation.TestOsmosisValidation::test_ibc_omitted_amount_and_receiver_are_rejected_before_review	OsmosisSignTx not supported by this firmware build
btc	tests.test_msg_osmosis_validation.TestOsmosisValidation::test_present_but_empty_amount_is_rejected_as_invalid	OsmosisSignTx not supported by this firmware build
btc	tests.test_msg_osmosis_validation.TestOsmosisValidation::test_present_but_empty_amount_is_rejected_before_review	OsmosisSignTx not supported by this firmware build
btc	tests.test_msg_ripple_get_address.TestMsgRippleGetAddress::test_ripple_get_address	Full feature firmware required to run this test
btc	tests.test_msg_ripple_get_address.TestMsgRippleGetAddress::test_ripple_get_address_other	Full feature firmware required to run this test
btc	tests.test_msg_ripple_get_address.TestMsgRippleGetAddress::test_ripple_show_address	Full feature firmware required to run this test
btc	tests.test_msg_ripple_sign_tx.TestMsgRippleSignTx::test_memo_length_prefix_boundaries	Full feature firmware required to run this test
btc	tests.test_msg_ripple_sign_tx.TestMsgRippleSignTx::test_ripple_sign_invalid_fee	Full feature firmware required to run this test
btc	tests.test_msg_ripple_sign_tx.TestMsgRippleSignTx::test_sign	Full feature firmware required to run this test
btc	tests.test_msg_ripple_sign_tx.TestMsgRippleSignTx::test_sign_with_thorchain_memo	Full feature firmware required to run this test
btc	tests.test_msg_ripple_sign_tx.TestMsgRippleSignTx::test_unsupported_memo_is_rejected	Full feature firmware required to run this test
btc	tests.test_msg_session_trust_lifetime.TestSessionTrustLifetime::test_advanced_mode_is_off_after_power_cycle	power cycle needs an emulator process this harness owns; none is bound to udp/11044 (CI runs it as a separate container). Run locally, or record the unplug/replug as manual evidence.
btc	tests.test_msg_session_trust_lifetime.TestSessionTrustLifetime::test_disabling_advanced_mode_revokes_the_signer	Full feature firmware required to run this test
btc	tests.test_msg_session_trust_lifetime.TestSessionTrustLifetime::test_signer_dropped_by_clear_session	Full feature firmware required to run this test
btc	tests.test_msg_session_trust_lifetime.TestSessionTrustLifetime::test_signer_dropped_by_initialize	Full feature firmware required to run this test
btc	tests.test_msg_session_trust_lifetime.TestSessionTrustLifetime::test_signer_dropped_by_power_cycle	Full feature firmware required to run this test
btc	tests.test_msg_signmessage.TestMsgSignmessage::test_sign_grs	Full feature firmware required to run this test
btc	tests.test_msg_signmessage_segwit.TestMsgSignmessageSegwit::test_sign_grs	Full feature firmware required to run this test
btc	tests.test_msg_signmessage_segwit_native.TestMsgSignmessageSegwitNative::test_sign_grs	Full feature firmware required to run this test
btc	tests.test_msg_signtx_bgold.TestMsgSigntxBitcoinGold::test_send_bitcoin_gold_nochange	Full feature firmware required to run this test
btc	tests.test_msg_signtx_dash.TestMsgSigntxDash::test_send_dash	Full feature firmware required to run this test
btc	tests.test_msg_signtx_dash.TestMsgSigntxDash::test_send_dash_dip2_input	Full feature firmware required to run this test
btc	tests.test_msg_signtx_ethereum_erc20.TestMsgEthereumSigntxERC20::test_approve_all	Full feature firmware required to run this test
btc	tests.test_msg_signtx_ethereum_erc20.TestMsgEthereumSigntxERC20::test_approve_none	Full feature firmware required to run this test
btc	tests.test_msg_signtx_ethereum_erc20.TestMsgEthereumSigntxERC20::test_approve_some	Full feature firmware required to run this test
btc	tests.test_msg_signtx_grs.TestMsgSigntxGRS::test_one_one_fee	Full feature firmware required to run this test
btc	tests.test_msg_signtx_segwit_grs.TestMsgSigntxSegwitGRS::test_send_p2sh	Full feature firmware required to run this test
btc	tests.test_msg_signtx_segwit_grs.TestMsgSigntxSegwitGRS::test_send_p2sh_change	Full feature firmware required to run this test
btc	tests.test_msg_signtx_segwit_native_grs.TestMsgSigntxNativeSegwitGRS::test_send_native	Full feature firmware required to run this test
btc	tests.test_msg_signtx_segwit_native_grs.TestMsgSigntxNativeSegwitGRS::test_send_native_change	Full feature firmware required to run this test
btc	tests.test_msg_signtx_zcash.TestMsgSigntx::test_shieldedIn_one_one_fee_1	Full feature firmware required to run this test
