variant	test	reason
full	tests.test_msg_hive.TestMsgHive::test_hive_sign_ops_downvote_and_default_chain_id	HiveSignOperations not supported by this firmware build
full	tests.test_msg_hive.TestMsgHive::test_hive_sign_ops_limit_order_cancel	HiveSignOperations not supported by this firmware build
full	tests.test_msg_hive.TestMsgHive::test_hive_sign_ops_limit_order_create	HiveSignOperations not supported by this firmware build
full	tests.test_msg_hive.TestMsgHive::test_hive_sign_ops_posting_tier_ops	HiveSignOperations not supported by this firmware build
full	tests.test_msg_hive.TestMsgHive::test_hive_sign_ops_rejects_excluded_and_unknown_ops	HiveSignOperations not supported by this firmware build
full	tests.test_msg_hive.TestMsgHive::test_hive_sign_ops_rejects_malformed_structure	HiveSignOperations not supported by this firmware build
full	tests.test_msg_hive.TestMsgHive::test_hive_sign_ops_rejects_oversize	HiveSignOperations not supported by this firmware build
full	tests.test_msg_hive.TestMsgHive::test_hive_sign_ops_role_fences	HiveSignOperations not supported by this firmware build
full	tests.test_msg_hive.TestMsgHive::test_hive_sign_ops_truncated_bodies_rejected	HiveSignOperations not supported by this firmware build
full	tests.test_msg_hive.TestMsgHive::test_hive_sign_ops_vote	HiveSignOperations not supported by this firmware build
full	tests.test_msg_hive.TestMsgHive::test_hive_sign_ops_zero_amount_semantics	HiveSignOperations not supported by this firmware build
full	tests.test_msg_hive.TestMsgHive::test_hive_sign_transfer	Staged release tree does not yet provide capability: hive-release-review
full	tests.test_msg_hive.TestMsgHive::test_hive_sign_transfer_max_memo_ok	Staged release tree does not yet provide capability: hive-release-review
full	tests.test_msg_hive.TestMsgHive::test_hive_sign_transfer_rejects_foreign_path	Staged release tree does not yet provide capability: hive-release-review
full	tests.test_msg_hive.TestMsgHive::test_hive_sign_transfer_rejects_long_memo	Staged release tree does not yet provide capability: hive-release-review
full	tests.test_msg_hive.TestMsgHive::test_hive_sign_transfer_rejects_non_active_roles	Staged release tree does not yet provide capability: hive-release-review
full	tests.test_msg_hive.TestMsgHive::test_hive_sign_transfer_rejects_wrong_network	Staged release tree does not yet provide capability: hive-release-review
full	tests.test_msg_osmosis_signtx.TestMsgOsmosisSignTx::test_osmosis_send_rejects_noncanonical_wire_amounts	Staged release tree does not yet provide capability: osmosis-wire-guards
