commit	added	deleted	path
4695a11444fa6a3bb990e59d000b8149bc5b74f3	1	1	.github/workflows/ci.yml
4695a11444fa6a3bb990e59d000b8149bc5b74f3	288	0	docs/security/HANDOFF-ERC7730-ALPHA.md
4695a11444fa6a3bb990e59d000b8149bc5b74f3	43	24	include/keepkey/board/messages.h
4695a11444fa6a3bb990e59d000b8149bc5b74f3	202	0	include/keepkey/firmware/eip712_stream.h
4695a11444fa6a3bb990e59d000b8149bc5b74f3	80	0	include/keepkey/firmware/erc7730_abi.h
4695a11444fa6a3bb990e59d000b8149bc5b74f3	80	0	include/keepkey/firmware/erc7730_abi_stream.h
4695a11444fa6a3bb990e59d000b8149bc5b74f3	189	0	include/keepkey/firmware/erc7730_catalog.h
4695a11444fa6a3bb990e59d000b8149bc5b74f3	20	0	include/keepkey/firmware/erc7730_condition.h
4695a11444fa6a3bb990e59d000b8149bc5b74f3	19	0	include/keepkey/firmware/erc7730_format.h
4695a11444fa6a3bb990e59d000b8149bc5b74f3	284	0	include/keepkey/firmware/erc7730_program.h
4695a11444fa6a3bb990e59d000b8149bc5b74f3	26	0	include/keepkey/firmware/erc7730_tx.h
4695a11444fa6a3bb990e59d000b8149bc5b74f3	137	0	include/keepkey/firmware/erc7730_workflow.h
4695a11444fa6a3bb990e59d000b8149bc5b74f3	4	8	include/keepkey/firmware/ethereum.h
4695a11444fa6a3bb990e59d000b8149bc5b74f3	5	14	lib/board/messages.c
4695a11444fa6a3bb990e59d000b8149bc5b74f3	9	0	lib/firmware/CMakeLists.txt
4695a11444fa6a3bb990e59d000b8149bc5b74f3	1117	0	lib/firmware/eip712_stream.c
4695a11444fa6a3bb990e59d000b8149bc5b74f3	468	0	lib/firmware/erc7730_abi.c
4695a11444fa6a3bb990e59d000b8149bc5b74f3	433	0	lib/firmware/erc7730_abi_stream.c
4695a11444fa6a3bb990e59d000b8149bc5b74f3	1382	0	lib/firmware/erc7730_catalog.c
4695a11444fa6a3bb990e59d000b8149bc5b74f3	101	0	lib/firmware/erc7730_condition.c
4695a11444fa6a3bb990e59d000b8149bc5b74f3	196	0	lib/firmware/erc7730_format.c
4695a11444fa6a3bb990e59d000b8149bc5b74f3	781	0	lib/firmware/erc7730_program.c
4695a11444fa6a3bb990e59d000b8149bc5b74f3	46	0	lib/firmware/erc7730_tx.c
4695a11444fa6a3bb990e59d000b8149bc5b74f3	640	0	lib/firmware/erc7730_workflow.c
4695a11444fa6a3bb990e59d000b8149bc5b74f3	159	26	lib/firmware/ethereum.c
4695a11444fa6a3bb990e59d000b8149bc5b74f3	51	28	lib/firmware/fsm.c
4695a11444fa6a3bb990e59d000b8149bc5b74f3	818	106	lib/firmware/fsm_msg_ethereum.h
4695a11444fa6a3bb990e59d000b8149bc5b74f3	9	0	lib/firmware/messagemap.def
4695a11444fa6a3bb990e59d000b8149bc5b74f3	9	0	unittests/firmware/CMakeLists.txt
4695a11444fa6a3bb990e59d000b8149bc5b74f3	638	0	unittests/firmware/eip712_stream.cpp
4695a11444fa6a3bb990e59d000b8149bc5b74f3	163	0	unittests/firmware/erc7730_abi.cpp
4695a11444fa6a3bb990e59d000b8149bc5b74f3	223	0	unittests/firmware/erc7730_abi_stream.cpp
4695a11444fa6a3bb990e59d000b8149bc5b74f3	599	0	unittests/firmware/erc7730_catalog.cpp
4695a11444fa6a3bb990e59d000b8149bc5b74f3	76	0	unittests/firmware/erc7730_condition.cpp
4695a11444fa6a3bb990e59d000b8149bc5b74f3	133	0	unittests/firmware/erc7730_format.cpp
4695a11444fa6a3bb990e59d000b8149bc5b74f3	390	0	unittests/firmware/erc7730_program.cpp
4695a11444fa6a3bb990e59d000b8149bc5b74f3	74	0	unittests/firmware/erc7730_tx.cpp
4695a11444fa6a3bb990e59d000b8149bc5b74f3	153	0	unittests/firmware/erc7730_workflow.cpp
632de4f7f9fd864d9bb1555ea5a7179131a203b8	1	1	.github/workflows/ci.yml
632de4f7f9fd864d9bb1555ea5a7179131a203b8	288	0	docs/security/HANDOFF-ERC7730-ALPHA.md
632de4f7f9fd864d9bb1555ea5a7179131a203b8	43	24	include/keepkey/board/messages.h
632de4f7f9fd864d9bb1555ea5a7179131a203b8	202	0	include/keepkey/firmware/eip712_stream.h
632de4f7f9fd864d9bb1555ea5a7179131a203b8	80	0	include/keepkey/firmware/erc7730_abi.h
632de4f7f9fd864d9bb1555ea5a7179131a203b8	80	0	include/keepkey/firmware/erc7730_abi_stream.h
632de4f7f9fd864d9bb1555ea5a7179131a203b8	189	0	include/keepkey/firmware/erc7730_catalog.h
632de4f7f9fd864d9bb1555ea5a7179131a203b8	20	0	include/keepkey/firmware/erc7730_condition.h
632de4f7f9fd864d9bb1555ea5a7179131a203b8	19	0	include/keepkey/firmware/erc7730_format.h
632de4f7f9fd864d9bb1555ea5a7179131a203b8	284	0	include/keepkey/firmware/erc7730_program.h
632de4f7f9fd864d9bb1555ea5a7179131a203b8	26	0	include/keepkey/firmware/erc7730_tx.h
632de4f7f9fd864d9bb1555ea5a7179131a203b8	137	0	include/keepkey/firmware/erc7730_workflow.h
632de4f7f9fd864d9bb1555ea5a7179131a203b8	4	8	include/keepkey/firmware/ethereum.h
632de4f7f9fd864d9bb1555ea5a7179131a203b8	5	14	lib/board/messages.c
632de4f7f9fd864d9bb1555ea5a7179131a203b8	9	0	lib/firmware/CMakeLists.txt
632de4f7f9fd864d9bb1555ea5a7179131a203b8	1117	0	lib/firmware/eip712_stream.c
632de4f7f9fd864d9bb1555ea5a7179131a203b8	468	0	lib/firmware/erc7730_abi.c
632de4f7f9fd864d9bb1555ea5a7179131a203b8	433	0	lib/firmware/erc7730_abi_stream.c
